260,READING,11901858.672,0,11901858.672,9785311.51117
261,NORTH ATTLEBOROUGH,13284131.52,308373.12,13592504.64,10931021.3692
262,RAYNHAM,9192254.016,0,9192254.016,7557564.87413
263,ROCKLAND,6827370.0,0,6827370.0,5613236.05776
264,RANDOLPH,14209663.776,0,14209663.776,11682711.9485
265,NORTH BROOKFIELD,6752525.472,0,6752525.472,5551701.3814
266,PERU,3250476.24,0,3250476.24,2672433.22615
267,OAKHAM,4092096.096,0,4092096.096,3364385.02057
268,RUSSELL,2487629.76,0,2487629.76,2045246.27597
269,RUTLAND,7978920.576,0,7978920.576,6560002.56016
270,SALEM,14228969.04,0,14228969.04,11698584.0931
271,PROVINCETOWN,2510665.872,0,2510665.872,2064185.79946
272,ROYALSTON,5885837.232,0,5885837.232,4839139.1972
273,PRINCETON,7258718.544,0,7258718.544,5967876.45379
274,PLYMPTON,3757506.72,0,3757506.72,3089296.78749
275,SANDWICH,16197268.032,0,16197268.032,13316853.921
276,ROCKPORT,3581564.448,0,3581564.448,2944642.9156
277,ROWLEY,4541924.64,0,4541924.64,3734219.05666
278,PLAINFIELD,4305735.456,0,4305735.456,3540032.18176
279,SOUTHWICK,7937501.088,0,7937501.088,6525948.83764
280,SPENCER,9457437.792,0,9457437.792,7775590.13618
281,SOUTHBOROUGH,8198855.28,0,8198855.28,6740825.54337
282,SOUTHBRIDGE,9572756.16,0,9572756.16,7870401.05479
283,SPRINGFIELD,70128162.72,0,70128162.72,57657038.0167
284,SOUTHAMPTON,7811202.96,0,7811202.96,6422110.72632
285,SHUTESBURY,2804265.552,0,2804265.552,2305573.67068
286,SOMERSET,11291884.56,0,11291884.56,9283811.12672
287,SHELBURNE,4615430.688,0,4615430.688,3794653.27937
288,SHERBORN,6251454.528,0,6251454.528,5139737.55194
289,SHIRLEY,5075509.824,0,5075509.824,4172915.01055
290,SHEFFIELD,7686996.768,0,7686996.768,6319992.53505
291,STERLING,8578633.536,0,8578633.536,7053066.56744
292,SHARON,13763545.488,0,13763545.488,11315928.3613
293,STOCKBRIDGE,4297108.992,0,4297108.992,3532939.79058
294,SAUGUS,11780605.056,0,11780605.056,9685620.82948
295,SAVOY,3836848.224,0,3836848.224,3154528.72762
296,SCITUATE,12361742.448,0,12361742.448,10163412.6239
297,TOWNSEND,8895012.192,0,8895012.192,7313182.55351
298,SEEKONK,13223728.848,0,13223728.848,10872109.1119
299,UPTON,6925982.448,0,6925982.448,5694311.92575
300,UXBRIDGE,11581644.624,7603.2,11589247.824,9522270.28964
301,TYNGSBOROUGH,8432653.152,0,8432653.152,6933046.36124
302,TYRINGHAM,2196786.768,0,2196786.768,1806124.86175
