,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
148,Granville,,,,,,,,,,,,,,,1432668.6,5730674.4,0,5730674.4,,,,
149,Halifax,,,,,,,,,,,,,,,1512989.28,6051957.12,0,6051957.12,,,,
150,Hamilton,,,,,,,,,,,,,,,1327618.644,5310474.576,0,5310474.576,,,,
151,Hadley,,,,,,,,,,,,,,,1810252.488,7241009.952,0,7241009.952,,,,
152,Groveland,,,,,,,,,,,,,,,1086516.948,4346067.792,0,4346067.792,,,,
153,Granby,,,,,,,,,,,,,,,1630943.424,6523773.696,0,6523773.696,,,,
154,Goshen,,,,,,,,,,,,,,,564965.016,2259860.064,0,2259860.064,,,,
155,Groton,,,,,,,,,,,,,,,2537613.936,10150455.74,0,10150455.74,,,,
156,Hanson,,,,,,,,,,,,,,,1855342.368,7421369.472,0,7421369.472,,,,
157,Hardwick,,,,,,,,,,,,,,,1818362.832,7273451.328,0,7273451.328,,,,
158,Harvard,,,,,,,,,,,,,,,1663366.716,6653466.864,0,6653466.864,,,,
159,Hanover,,,,,,,,,,,,,,,2783461.428,11133845.71,0,11133845.71,,,,
160,Hatfield,,,,,,,,,,,,,,,1054496.52,4217986.08,0,4217986.08,,,,
161,Haverhill,,,,,,,,,,,,,,,7459746.228,29838984.91,0,29838984.91,,,,
162,Hawley,,,,,,,,,,,,,,,890551.464,3562205.856,0,3562205.856,,,,
163,Hingham,,,,,,,,,,,,,,,3424953.444,13699813.78,0,13699813.78,,,,
164,Heath,,,,,,,,,,,,,,,1042016.448,4168065.792,0,4168065.792,,,,
165,Hinsdale,,,,,,,,,,,,,,,802507.728,3210030.912,0,3210030.912,,,,
166,Holyoke,,,,,,,,,,,,,,,5059359.503,20235512.88,16042.752,20251555.63,,,,
