,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
78,Bourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,768,823.95","11,075,295.79",0.00,"11,075,295.79",0,0,0,0
79,Brookline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,564,940.03","14,251,588.56","68,096.16","14,319,684.72",0,0,0,0
80,Boxborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"936,752.39","3,747,009.55",0.00,"3,747,009.55",0,0,0,0
81,Boxford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,453,863.10","9,815,452.42",0.00,"9,815,452.42",0,0,0,0
82,Boylston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,042,451.65","4,169,806.61",0.00,"4,169,806.61",0,0,0,0
83,Braintree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,733,601.26","14,934,405.02",0.00,"14,934,405.02",0,0,0,0
84,Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,464,412.62","5,857,650.48",0.00,"5,857,650.48",0,0,0,0
85,Brockton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,003,738.64","36,011,757.41","26,642.88","36,038,400.29",0,0,0,0
86,Brimfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,431,581.45","5,726,325.79",0.00,"5,726,325.79",0,0,0,0
87,Brookfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"879,349.68","3,517,398.72",0.00,"3,517,398.72",0,0,0,0
88,Cambridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,598,055.40","18,392,221.58",0.00,"18,392,221.58",0,0,0,0
89,Somerville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,474,323.29","13,897,293.17",0.00,"13,897,293.17",0,0,0,0
90,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,584,247.35","14,336,989.39",0.00,"14,336,989.39",0,0,0,0
91,Carver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,236,336.34","8,945,345.38",0.00,"8,945,345.38",0,0,0,0
92,Carlisle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,435,651.93","5,742,607.73",0.00,"5,742,607.73",0,0,0,0
93,Charlemont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"984,445.18","3,936,766.94","8,448.00","3,945,214.94",0,0,0,0
94,Chelmsford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,867,551.27","23,470,205.09",0.00,"23,470,205.09",0,0,0,0
95,Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"872,121.36","3,488,485.44",0.00,"3,488,485.44",0,0,0,0
96,Charlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,914,540.73","11,658,162.91",0.00,"11,658,162.91",0,0,0,0
97,Cheshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,030,929.90","4,123,719.60",0.00,"4,123,719.60",0,0,0,0
98,Chesterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,193,972.47","4,775,889.89",0.00,"4,775,889.89",0,0,0,0
99,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,719,855.06","6,876,632.40","23,232.00","6,899,864.40",0,0,0,0
100,Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,171,538.41","4,686,153.65",0.00,"4,686,153.65",0,0,0,0
101,Chicopee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,503,425.71","22,011,548.59","17,952.00","22,029,500.59",0,0,0,0
