,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
80,BOXBOROUGH,,,,,,,,,,,,,,,3080666.366,3747009.552,0,3747009.552,,,,
81,BOXFORD,,,,,,,,,,,,,,,8069937.827,9815452.416,0,9815452.416,,,,
82,BOYLSTON,,,,,,,,,,,,,,,3428276.013,4169806.608,0,4169806.608,,,,
83,BRAINTREE,,,,,,,,,,,,,,,12278570.05,14934405.02,0,14934405.02,,,,
84,BREWSTER,,,,,,,,,,,,,,,4815964.989,5857650.48,0,5857650.48,,,,
85,BROCKTON,,,,,,,,,,,,,,,29608465.96,36011757.41,26642.88,36038400.29,,,,
86,BRIMFIELD,,,,,,,,,,,,,,,4707994.208,5726325.792,0,5726325.792,,,,
87,BROOKFIELD,,,,,,,,,,,,,,,2891887.993,3517398.72,0,3517398.72,,,,
88,CAMBRIDGE,,,,,,,,,,,,,,,15121471.57,18392221.58,0,18392221.58,,,,
89,SOMERVILLE,,,,,,,,,,,,,,,11425891.25,13897293.17,0,13897293.17,,,,
90,BURLINGTON,,,,,,,,,,,,,,,11787394.83,14336989.39,0,14336989.39,,,,
91,CARVER,,,,,,,,,,,,,,,7354564.82,8945345.376,0,8945345.376,,,,
92,CARLISLE,,,,,,,,,,,,,,,4721380.673,5742607.728,0,5742607.728,,,,
93,CHARLEMONT,,,,,,,,,,,,,,,3236932.009,3936766.944,8448,3945214.944,,,,
94,CHELMSFORD,,,,,,,,,,,,,,,19296420.36,23470205.09,0,23470205.09,,,,
95,ROWE,,,,,,,,,,,,,,,2868116.458,3488485.44,0,3488485.44,,,,
96,CHARLTON,,,,,,,,,,,,,,,9584952.98,11658162.91,0,11658162.91,,,,
97,CHESHIRE,,,,,,,,,,,,,,,3390384.812,4123719.6,0,4123719.6,,,,
98,CHESTERFIELD,,,,,,,,,,,,,,,3926577.486,4775889.888,0,4775889.888,,,,
99,CHELSEA,,,,,,,,,,,,,,,5654434.921,6876632.4,23232,6899864.4,,,,
100,CHESTER,,,,,,,,,,,,,,,3852799.34,4686153.648,0,4686153.648,,,,
101,CHICOPEE,,,,,,,,,,,,,,,18097700.17,22011548.59,17952,22029500.59,,,,
102,CONCORD,,,,,,,,,,,,,,,10612829.64,12908367.65,0,12908367.65,,,,
103,CLINTON,,,,,,,,,,,,,,,5049696.134,6141937.296,0,6141937.296,,,,
104,CHILMARK,,,,,,,,,,,,,,,1087477.408,1322697.024,0,1322697.024,,,,
105,CLARKSBURG,,,,,,,,,,,,,,,1283965.902,1561685.664,0,1561685.664,,,,
106,SOUTH HADLEY,,,,,,,,,,,,,,,8533332.563,10379078.69,0,10379078.69,,,,
107,DALTON,,,,,,,,,,,,,,,3863801.706,4699535.808,0,4699535.808,,,,
108,CUMMINGTON,,,,,,,,,,,,,,,3453507.874,4200496.08,0,4200496.08,,,,
109,CONWAY,,,,,,,,,,,,,,,4419259.915,5375138.736,0,5375138.736,,,,
110,DARTMOUTH,,,,,,,,,,,,,,,21955488.83,26704425.79,0,26704425.79,,,,
111,DENNIS,,,,,,,,,,,,,,,13505001.98,16426112.21,0,16426112.21,,,,
112,DEERFIELD,,,,,,,,,,,,,,,6031838.64,7336515.648,0,7336515.648,,,,
113,DOUGLAS,,,,,,,,,,,,,,,5817741.151,7076109.216,0,7076109.216,,,,
114,DOVER,,,,,,,,,,,,,,,5783105.729,7033982.208,0,7033982.208,,,,
115,GREENFIELD,,,,,,,,,,,,,,,11282886.31,13722975.02,10454.4,13733429.42,,,,
116,DIGHTON,,,,,,,,,,,,,,,5338310.575,6490236.192,75156.576,6565392.768,,,,
117,DUXBURY,,,,,,,,,,,,,,,8893712.682,10817408.45,0,10817408.45,,,,
118,DUNSTABLE,,,,,,,,,,,,,,,2989185.459,3635741.472,0,3635741.472,,,,
119,DUDLEY,,,,,,,,,,,,,,,7628138.03,9278092.032,0,9278092.032,,,,
120,EAST BRIDGEWATER,,,,,,,,,,,,,,,5764907.655,7011847.92,0,7011847.92,,,,
121,EAST LONGMEADOW,,,,,,,,,,,,,,,11187468.74,13607300.26,0,13607300.26,,,,
122,EAST BROOKFIELD,,,,,,,,,,,,,,,1736189.405,2111724.384,0,2111724.384,,,,
123,EDGARTOWN,,,,,,,,,,,,,,,3437845.836,4181446.368,0,4181446.368,,,,
124,EASTON,,,,,,,,,,,,,,,12903926.81,15695025.46,0,15695025.46,,,,
125,EASTHAM,,,,,,,,,,,,,,,4429397.546,5387469.12,0,5387469.12,,,,
126,EASTHAMPTON,,,,,,,,,,,,,,,8894844.825,10818785.47,0,10818785.47,,,,
127,FAIRHAVEN,,,,,,,,,,,,,,,8466058.163,10297252.94,0,10297252.94,,,,
128,EVERETT,,,,,,,,,,,,,,,6265478.623,7620691.584,0,7620691.584,,,,
129,EGREMONT,,,,,,,,,,,,,,,2738843.759,3331251.264,0,3331251.264,,,,
130,ESSEX,,,,,,,,,,,,,,,1809715.77,2201154.384,0,2201154.384,,,,
131,ERVING,,,,,,,,,,,,,,,1484060.498,1805060.4,0,1805060.4,,,,
132,FALL RIVER,,,,,,,,,,,,,,,28751235.04,34970080.99,0,34970080.99,,,,
133,FALMOUTH,,,,,,,,,,,,,,,19176980.47,23322568.9,64722.24,23387291.14,,,,
134,FITCHBURG,,,,,,,,,,,,,,,19823464.73,24111248.3,0,24111248.3,,,,
135,FRAMINGHAM,,,,,,,,,,,,,,,25707551.3,31268053.34,0,31268053.34,,,,
136,FOXBOROUGH,,,,,,,,,,,,,,,9187416.597,11174640.05,0,11174640.05,,,,
137,FLORIDA,,,,,,,,,,,,,,,2677822.627,3257031.36,0,3257031.36,,,,
138,FRANKLIN,,,,,,,,,,,,,,,15368785.83,18693029.52,0,18693029.52,,,,
139,FREETOWN,,,,,,,,,,,,,,,7300750.683,8879891.328,0,8879891.328,,,,
140,GARDNER,,,,,,,,,,,,,,,11070929.18,13465553.38,0,13465553.38,,,,
141,GLOUCESTER,,,,,,,,,,,,,,,8625244.969,10490871.6,0,10490871.6,,,,
142,GOSNOLD,,,,,,,,,,,,,,,139384.2834,169532.88,0,169532.88,,,,
143,AQUINNAH,,,,,,,,,,,,,,,722874.3248,879230.88,0,879230.88,,,,
144,GEORGETOWN,,,,,,,,,,,,,,,5265029.517,6403846.944,0,6403846.944,,,,
145,GILL,,,,,,,,,,,,,,,2866850.61,3486945.792,0,3486945.792,,,,
146,GREAT BARRINGTON,,,,,,,,,,,,,,,6453656.783,7849140.816,11827.2,7860968.016,,,,
147,GRAFTON,,,,,,,,,,,,,,,7954629.82,9675203.472,0,9675203.472,,,,
148,GRANVILLE,,,,,,,,,,,,,,,4711569.488,5730674.4,0,5730674.4,,,,
149,HALIFAX,,,,,,,,,,,,,,,4975717.432,6051957.12,0,6051957.12,,,,
150,HAMILTON,,,,,,,,,,,,,,,4366095.198,5310474.576,0,5310474.576,,,,
151,HADLEY,,,,,,,,,,,,,,,5953317.04,7241009.952,0,7241009.952,,,,
152,GROVELAND,,,,,,,,,,,,,,,3573192.084,4346067.792,0,4346067.792,,,,
153,GRANBY,,,,,,,,,,,,,,,5363629.295,6523773.696,0,6523773.696,,,,
154,GOSHEN,,,,,,,,,,,,,,,1857981.623,2259860.064,0,2259860.064,,,,
155,GROTON,,,,,,,,,,,,,,,8345366.398,10150455.74,0,10150455.74,,,,
156,HANSON,,,,,,,,,,,,,,,6101602.626,7421369.472,0,7421369.472,,,,
157,HARDWICK,,,,,,,,,,,,,,,5979989.258,7273451.328,0,7273451.328,,,,
158,HARVARD,,,,,,,,,,,,,,,5470258.696,6653466.864,0,6653466.864,,,,
159,HANOVER,,,,,,,,,,,,,,,9153876.853,11133845.71,0,11133845.71,,,,
160,HATFIELD,,,,,,,,,,,,,,,3467887.57,4217986.08,0,4217986.08,,,,
161,HAVERHILL,,,,,,,,,,,,,,,24532618.86,29838984.91,0,29838984.91,,,,
162,HAWLEY,,,,,,,,,,,,,,,2928726.926,3562205.856,0,3562205.856,,,,
163,HINGHAM,,,,,,,,,,,,,,,11263530.27,13699813.78,0,13699813.78,,,,
164,HEATH,,,,,,,,,,,,,,,3426844.773,4168065.792,0,4168065.792,,,,
165,HINSDALE,,,,,,,,,,,,,,,2639180.426,3210030.912,0,3210030.912,,,,
166,HOLYOKE,,,,,,,,,,,,,,,16637445.52,20235512.88,16042.752,20251555.63,,,,
167,HOLDEN,,,,,,,,,,,,,,,10341622.3,12578498.59,0,12578498.59,,,,
168,HUBBARDSTON,,,,,,,,,,,,,,,6577678.407,8000419.68,0,8000419.68,,,,
169,HUDSON,,,,,,,,,,,,,,,9859336.228,11991894.82,0,11991894.82,,,,
